Classical Mechanics | J.R. Taylor
Classical Mechanics | Kibble Berkshire
Classical Mechanics | Goldstein
Classical Mechanics | Greiner
Classical Mechanics: Systems of Particles and Hamiltonian Dynamics | Jose Saletan
Engineering Mechanics Dynamics | Hibbeler
Introduction to Classical Mechanics | Morin
Introduction to Classical Mechanics | French
Mathematical Methods of Classical Mechanics | Arnold
Mechanics | Landau Lifshitz
Nonlinear Dynamics and Chaos | Strogatz
Structure and Interpretation of Classical Mechanics | Sussman Wisdom
The Variational Principles of Mechanics | Lanczos
An Introduction to Mechanics | Kleppner Kolenkow
